device_id,device_name,status,match_rule,changes
d7a57cbb-1f84-4e75-ab20-5443eed65610,CNB TELECOM - OLT CIANET - QUIXABA,updated,name_exact,password
098a9d62-7620-4133-9066-893138e0d7f8,SW21 DATACOM BORDA,unresolved,no_match,
3607cd48-fede-4f50-9a78-e80d81698efb,I4 TELECOM - ROUTER - HW NE8000 AUT/BORDA,updated,name_exact,password
e94e7678-846e-4c4d-850c-25f75c7a55c3,OLT ZTE - IGARASSU,unresolved,no_match,
609e6570-4d7e-4d36-bd9c-4be04b327fa1,OLT-PC,unresolved,no_match,
708b33ad-694f-41e7-96ea-73ad15ba98a2,GRUPO FLASH - OLT HW - JAGUARANA,updated,name_exact,password
0bbce5f5-417d-451c-ace7-9540afdc659d,INFOTEL - SW HW S6730 - APITO,updated,name_exact,password
c14b14f7-1941-48f6-8ad5-156a42541ff6,AUTENTICADOR -  1009 - UPATININGA,unresolved,no_match,
467c3449-a6d8-49b3-8906-f9558b7ad8f6,I4 TELECOM - SW DM - PRESIDENTE KENNEDY,updated,name_exact,password
05ebdd69-8f96-4876-a2ce-d3eb11d9c0f7,BORDA-MEGALINK,unresolved,no_match,
978379f7-a5e3-426d-8198-f1c32c47ba3b,PIX FIBRA - OLT HW - AFOGADOS,updated,name_exact,password
9fcdaa9c-1cbc-4927-8e6b-2cbdbccff4ea,GRUPO VESC - GATEWAY - ZABBIX SERVER,updated,name_exact,password
0dd115ba-ca99-47eb-a961-cf6691410c07,CCR2116 - CARNE DE VACA,updated,ip_port_exact,password
9c3b31de-f936-4608-a038-926761a5e3f9,FIBERMAIS - SW CISCO - ALTO DO PASCOAL,updated,name_exact,password
3a813810-2b27-4d66-9ad9-55084dbb8228,OLT Parks,unresolved,no_match,
3cadd3d4-1777-4812-b9cf-1a05cf70d021,AUTENTICADOR FOX NET CCR 2116,unresolved,no_match,
4b228285-517d-4050-b02b-62835b313fdd,BORDA FOX NET CCR 1036,unresolved,no_match,
0aa90415-df21-4e10-85e1-f6c60d21489f,MAXIMANET - LINUX - ZABBIX - GATEWAY,updated,name_exact,password
f58cbd95-2907-4fcf-865b-f190de9e78e5,ROUTER - BORDA MIKROTIK 1016 (antigo bgp) ROSARINHO,unresolved,no_match,
4409f28f-ba97-468f-a524-587845097c52,Borda LinsNet,unresolved,no_match,
